source_table,source_column,target_column,cast_to,na_default,is_generated,transformation,expr,dq_rule
farmers_data,NA,dwid,integer,NA,Y,EXPR,farmer_id,NA
farmers_data,farmer_id,farmer_id,integer,0,N,NA,NA,NA
farmers_data,name,farmer_name,string,_,N,NA,NA,NA
farmers_data,gender,gender,string,_,N,NA,NA,"ColumnValues 'gender' in ['F','M']"
farmers_data,phone,phone,integer,0,N,PHONE,NA,NA
farmers_data,col_id,col_id,integer,0,N,NA,NA,NA
farmers_data,cattle_capacity,cattle_capacity,integer,0,N,NA,NA,"ColumnValues 'cattle_capacity' >= 2"
farmers_data,aadhar,aadhar,integer,0,N,NA,NA,NA
farmers_data,pan,pan,string,_,N,NA,NA,NA
farmers_data,bank_ac,bank_ac,integer,0,N,NA,NA,NA
collection_center_data,NA,dwid,integer,NA,Y,EXPR,col_id,NA
collection_center_data,col_id,col_id,integer,0,N,NA,NA,NA
collection_center_data,chl_id,chl_id,integer,0,N,NA,NA,NA
collection_center_data,owner,owner,string,_,N,NA,NA,NA
collection_center_data,location,location,string,_,N,NA,NA,NA
collection_center_data,phone,phone,integer,0,N,PHONE,NA,NA
collection_center_data,aadhar,aadhar,integer,0,N,NA,NA,NA
collection_center_data,pan,pan,string,_,N,NA,NA,NA
collection_center_data,bank_ac,bank_ac,integer,0,N,NA,NA,NA
chilling_center_data,NA,dwid,integer,NA,Y,EXPR,chl_id,NA
chilling_center_data,chl_id,chl_id,integer,0,N,NA,NA,NA
chilling_center_data,owner,owner_name,string,_,N,NA,NA,NA
chilling_center_data,location,location,string,_,N,NA,NA,NA
chilling_center_data,phone,phone,integer,0,N,PHONE,NA,NA
chilling_center_data,aadhar,aadhar,string,_,N,NA,NA,NA
chilling_center_data,pan,pan,string,_,N,NA,NA,NA
chilling_center_data,bank_ac,bank_ac,integer,0,N,NA,NA,NA
logistics_contractor_data,NA,dwid,integer,NA,Y,EXPR,contractor_id,NA
logistics_contractor_data,contractor_id,contractor_id,integer,0,N,NA,NA,NA
logistics_contractor_data,owner,owner,string,_,N,NA,NA,NA
logistics_contractor_data,vehicle_no,vehicle_no,string,_,N,NA,NA,NA
logistics_contractor_data,phone,phone,integer,0,N,PHONE,NA,NA
logistics_contractor_data,aadhar,aadhar,string,_,N,NA,NA,NA
logistics_contractor_data,pan,pan,string,_,N,NA,NA,NA
logistics_contractor_data,bank_ac,bank_ac,integer,0,N,NA,NA,NA
routes_data,NA,dwid,string,NA,Y,EXPR,route_id,NA
routes_data,route_id,route_id,string,_,N,NA,NA,NA
routes_data,stops,stops,string,_,N,NA,NA,NA
routes_data,distance,distance,integer,0,N,NA,NA,NA
routes_data,cost,cost,integer,0,N,NA,NA,NA
distributor_data,NA,dwid,integer,NA,Y,EXPR,distributor_id,NA
distributor_data,distributor_id,distributor_id,integer,0,N,NA,NA,NA
distributor_data,name,name,string,_,N,NA,NA,NA
distributor_data,phone,phone,integer,0,N,PHONE,NA,NA
distributor_data,area,area,string,_,N,NA,NA,NA
products_data,NA,dwid,integer,NA,Y,EXPR,product_id,NA
products_data,product_id,product_id,integer,0,N,NA,NA,NA
products_data,name,name,string,_,N,NA,NA,NA
products_data,price,price,integer,0,N,NA,NA,NA
products_data,sl,shelf_life,string,_,N,NA,NA,NA
products_data,recipe_id,recipe_id,string,_,N,NA,NA,NA
recipe_data,NA,dwid,string,NA,Y,EXPR,"recipe_id",NA
recipe_data,recipe_id,recipe_id,string,_,N,NA,NA,NA
recipe_data,raw_material,raw_material,string,_,N,NA,NA,NA
recipe_data,quantity_per_unit_ml,quantity_per_unit_ml,integer,0,N,NA,NA,NA
collection_center_procurement,NA,dwid,integer,NA,Y,EXPR,"concat(unix_timestamp(date,'yyyy-MM-dd'), farmer_id)",NA
collection_center_procurement,farmer_id,farmer_id,integer,0,N,NA,NA,NA
collection_center_procurement,date,date,date,2022-01-01,N,NA,NA,NA
collection_center_procurement,quantity,quantity,integer,0,N,NA,NA,NA
collection_center_procurement,fat,fat,float,0,N,NA,NA,NA
collection_center_procurement,snf,snf,float,0,N,NA,NA,NA
collection_center_procurement,amount,amount,float,0,N,NA,NA,NA
